dr_no,date_occ,date_rptd,time_occ,area_name,latitude,longitude,rpt_dist_no,mocodes,vict_age,vict_sex,vict_descent,premis_cd,location,cross_street,TMAX,TMIN,PRCP
190100616,2019-03-25,2019-03-25,17:15,downtown,34.0472,-118.2381,0139,"{3101,3401,3701,3004,3026,3801}",40,M,Hispanic,101,2ND_ST,ALAMEDA,23.9,11.7,0
190100690,2019-05-18,2019-05-18,00:45,downtown,34.0438,-118.2397,0148,"{3101,3401,3701,3006,3026}",56,M,Black,101,4TH_ST,CENTRAL,22.2,13.3,0.3
190100921,2019-10-04,2019-10-04,18:20,downtown,34.0481,-118.2542,0152,"{0605,3101,3401,3701,3004,3030}",41,M,Other Asian,101,6TH_ST,OLIVE_ST,26.1,15,0
190100924,2019-10-06,2019-10-06,00:30,downtown,34.0419,-118.2523,0176,"{0605,3101,3401,3701,3006,3030}",38,M,Other,101,8TH_ST,LOS_ANGELES,31.7,14.4,0
190100924,2019-10-06,2019-10-06,00:30,downtown,34.0419,-118.2523,0176,"{0605,3101,3401,3701,3006,3030}",,M,Other,101,8TH_ST,LOS_ANGELES,31.7,14.4,0
190100949,2019-10-19,2019-10-20,20:03,downtown,34.0516,-118.2561,0142,"{3101,3401,3701,3004,0947,3024,3036,0605}",29,M,White,101,FLOWER_ST,5TH_ST,26.7,15.6,0
190104013,2019-01-01,2019-01-01,00:25,downtown,34.0437,-118.2652,0182,"{3101,3401,3701,3003,3025}",22,M,White,101,FIGUEROA,11TH,16.7,3.3,0
190104026,2019-01-01,2019-01-01,03:30,downtown,34.0511,-118.2336,0129,"{3101,3401,3701,3004,3026,3036}",30,M,Black,101,N_ALAMEDA,E_CESAR_CHAVEZ,16.7,3.3,0
190104049,2019-01-01,2019-01-01,16:30,downtown,34.0627,-118.2463,0111,"{3101,3401,3701,3004,3025,3029}",71,M,Other Asian,101,SUNSET_BL,FIGUEROA_ST,16.7,3.3,0
190104098,2019-01-02,2019-01-02,10:50,downtown,34.0353,-118.2612,0195,"{3101,3401,3701,3006,3030}",36,M,Other,101,MAIN_ST,14TH_ST,17.2,3.3,0
190104100,2019-01-02,2019-01-02,11:00,downtown,34.0343,-118.262,0195,"{3101,3401,3701,3003,3026}",40,M,Hispanic,101,15TH_ST,MAIN_ST,17.2,3.3,0
190104105,2019-01-02,2019-01-02,13:05,downtown,34.0552,-118.2322,0119,"{3101,3401,3701,3004,3026}",37,M,Hispanic,101,RAMIREZ_ST,VIGNES_ST,17.2,3.3,0
190104165,2019-01-03,2019-01-03,09:25,downtown,34.0544,-118.2466,0132,"{3101,3401,3701,3004,3034,3002}",58,F,White,101,1ST_ST,HILL_ST,19.4,6.1,0
190104193,2019-01-03,2019-01-03,12:15,downtown,34.0557,-118.2488,0122,"{3101,3401,3701,3004,3034}",38,M,Black,101,1ST_ST,GRAND_AV,19.4,6.1,0
190104193,2019-01-03,2019-01-03,12:15,downtown,34.0557,-118.2488,0122,"{3101,3401,3701,3004,3034}",,M,Black,101,1ST_ST,GRAND_AV,19.4,6.1,0
190104198,2019-01-03,2019-01-03,16:18,downtown,34.0557,-118.2488,0122,"{3101,3401,3701,3004,3026,3029}",29,M,Other,101,1ST,GRAND,19.4,6.1,0
190104199,2019-01-02,2019-01-03,16:00,downtown,34.0534,-118.2409,0124,"{3101,3401,3701,3006,3030,3032}",47,M,Other Asian,101,LOS_ANGELES_ST,TEMPLE_ST,17.2,3.3,0
190104201,2019-01-03,2019-01-04,14:42,downtown,34.0399,-118.2383,0159,"{3101,3401,3701,3011,3030,3034}",40,M,White,101,ALAMEDA_ST,PALMETTO,19.4,6.1,0
190104246,2019-01-03,2019-01-04,13:45,downtown,34.0423,-118.2452,0156,"{3101,3401,3701,3003,3026,3029}",33,F,White,101,SAN_PEDRO,6TH,19.4,6.1,0
190104273,2019-01-04,2019-01-04,16:00,downtown,34.045,-118.264,0182,"{3101,3401,3701,3004,3030}",35,M,Other,101,W_OLYMPIC_BL,S_FLOWER_ST,18.9,7.2,0
